what things can you do?,abilities
what can you do for me?,abilities
what is your ability,abilities
why are you here?,abilities
what are you designed for?,abilities
How do you function?,abilities
what are your functions?,abilities
What else can you help me with?,abilities
What do you handle?,abilities
What do you do?,abilities
What can I ask you to do?,abilities
What are your skills?,abilities
What are you used for?,abilities
What are you good at?,abilities
What are you capable of?,abilities
What are you able to understand?,abilities
What are you able to deal with?,abilities
What can you do?,abilities
what are your abilities?,abilities
can you do this,abilities
Do you know who you are?,About_Chat_Bot
Describe your self,About_Chat_Bot
Tell me about yourself,About_Chat_Bot
About you,About_Chat_Bot
who designed you?,About_Chat_Bot
tell me about yourselves,About_Chat_Bot
are you female,About_Chat_Bot
are you male or female,About_Chat_Bot
are you male,About_Chat_Bot
what is your gender,About_Chat_Bot
are you female or male,About_Chat_Bot
are you man or woman,About_Chat_Bot
are you woman or man,About_Chat_Bot
are you man,About_Chat_Bot
are you woman,About_Chat_Bot
are you a girl,About_Chat_Bot
are you a boy,About_Chat_Bot
are you a boy or girl,About_Chat_Bot
are you girl or boy,About_Chat_Bot
what gender are you?,About_Chat_Bot
who developed you?,About_Chat_Bot
who progammed you?,About_Chat_Bot
who made you?,About_Chat_Bot
who is your creator?,About_Chat_Bot
who created you?,About_Chat_Bot
who coded you?,About_Chat_Bot
where are you?,About_Chat_Bot
what is your name?,About_Chat_Bot
where do you live?,About_Chat_Bot
What should I know about you?,About_Chat_Bot
Tell me about your life,About_Chat_Bot
What's your name?,About_Chat_Bot
Tell me something about yourself,About_Chat_Bot
Let us talk about you,About_Chat_Bot
Introduce your self,About_Chat_Bot
Who are you?,About_Chat_Bot
Do you have a name?,About_Chat_Bot
15,age
40,age
6,age
80,age
i am hungry,command_questions
I am Starving,command_questions
i am feeling peckish,command_questions
i am very hungry,command_questions
shop from snapdeal,company_names
shop from jabong,company_names
jabong,company_names
myntra,company_names
order from myntra,company_names
shop from myntra,company_names
e-shopping,company_names
Swiggy,company_names
Order from Amazon,company_names
Amazon,company_names
Shop from Amazon,company_names
Order from Flipkart,company_names
Uber Eats,company_names
Flipkart,company_names
Shop from Flipkart,company_names
Zomato,company_names
Order food from Swiggy,company_names
Food Panda,company_names
Order food from Food Panda,company_names
Order food from Zomato,company_names
Order food from Uber Eats,company_names
snapdeal,company_names
order from snapdeal,company_names
order from jabong,company_names
whats todays date?,date_enquiry
can you tell me the date?,date_enquiry
tell todays date?,date_enquiry
please tell me date?,date_enquiry
todays date,date_enquiry
how much time will you take to deliver the medicines?,delivery_info
Do you deliver?,delivery_info
what about delivery?,delivery_info
do you devlier?,delivery_info
How long will the medicines take to arrive?,delivery_info
What is the delivery time?,delivery_info
How long does it take to deliver this medicines?,delivery_info
Do you deliver on weekends?,delivery_info
when will i receive my medicines?,delivery_info
what is he delivery fees?,delivery_info
you charge for the delivery?,delivery_info
how much do you charge for the delivery?,delivery_info
what are your delivery timings?,delivery_info
is the delivery free?,delivery_info
delivery information?,delivery_info
Doctors nearby,doctor_recommendation
Orthopedic doctors in Paldi,doctor_recommendation
physicians around paldi,doctor_recommendation
doctors around paldi,doctor_recommendation
Doctors near Paldi,doctor_recommendation
physicians in ahmedabad,doctor_recommendation
Paediatricians in Ahmedabad,doctor_recommendation
Physicians in Paldi,doctor_recommendation
Paediatricians in Paldi,doctor_recommendation
Orthopaedic hospital in Paldi,doctor_recommendation
Orthopaedic hospital in Ahmedabad,doctor_recommendation
Clinics near Paldi,doctor_recommendation
Orthopaedic hospital near Paldi,doctor_recommendation
Physicians near Paldi,doctor_recommendation
Paediatricians near Paldi,doctor_recommendation
Clinics in Paldi,doctor_recommendation
Doctors in Paldi,doctor_recommendation
